SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,OPEN_INT,CHG_IN_OI,COI_OI,COI_CHOI,COUNT
BANKNIFTY,18-MAR-2020,22198.95,22351.0,20150.0,20517.95,1249800,101380,1497620,135260,0
BANKNIFTY,18-MAR-2020,22204.65,22423.75,20200.0,20544.65,188080,32340,1497620,135260,1
BANKNIFTY,18-MAR-2020,22445.8,22500.0,20266.45,20631.2,59740,1540,1497620,135260,2
NIFTY,18-MAR-2020,9040.7,9070.9,8380.05,8433.7,15173250,-691350,20286000,517350,3
NIFTY,18-MAR-2020,9039.0,9098.8,8390.15,8434.85,4189875,1154025,20286000,517350,4
NIFTY,18-MAR-2020,9062.0,9110.9,8400.0,8458.7,922875,54675,20286000,517350,5
BANKNIFTY,19-MAR-2020,19499.0,20971.15,18787.65,20028.5,1099260,-150540,1337180,-160440,0
BANKNIFTY,19-MAR-2020,19426.95,20965.0,18666.0,20026.0,177500,-10580,1337180,-160440,1
BANKNIFTY,19-MAR-2020,19168.45,21000.0,18874.6,20015.65,60420,680,1337180,-160440,2
NIFTY,19-MAR-2020,8111.05,8531.0,7816.45,8205.9,14296050,-877200,19781025,-504975,3
NIFTY,19-MAR-2020,8138.4,8539.65,7823.1,8207.6,4729725,539850,19781025,-504975,4
NIFTY,19-MAR-2020,8000.1,8549.0,7829.0,8228.35,755250,-167625,19781025,-504975,5
BANKNIFTY,20-MAR-2020,19959.95,20933.0,19217.75,20294.35,1117100,17840,1406580,69400,0
BANKNIFTY,20-MAR-2020,20030.0,20932.9,19250.0,20323.2,213260,35760,1406580,69400,1
BANKNIFTY,20-MAR-2020,19853.15,20975.0,19320.4,20367.0,76220,15800,1406580,69400,2
NIFTY,20-MAR-2020,8234.9,8854.6,8130.1,8723.1,14411475,115425,20548800,767775,3
NIFTY,20-MAR-2020,8247.2,8872.75,8137.25,8754.4,5149050,419325,20548800,767775,4
NIFTY,20-MAR-2020,8292.1,8875.9,8157.05,8760.5,988275,233025,20548800,767775,5
BANKNIFTY,23-MAR-2020,18264.95,19200.0,16741.5,16881.05,973000,-144100,1323720,-82860,0
BANKNIFTY,23-MAR-2020,18300.0,19200.0,16783.25,16933.45,267860,54600,1323720,-82860,1
BANKNIFTY,23-MAR-2020,18500.0,19547.5,16810.55,17012.45,82860,6640,1323720,-82860,2
NIFTY,23-MAR-2020,7850.8,8189.0,7551.0,7581.55,11596800,-2814675,17626200,-2922600,3
NIFTY,23-MAR-2020,7880.0,8248.0,7572.05,7603.6,5073000,-76050,17626200,-2922600,4
NIFTY,23-MAR-2020,8000.0,8249.8,7578.95,7605.25,956400,-31875,17626200,-2922600,5
BANKNIFTY,24-MAR-2020,17550.0,17949.95,16020.55,16929.75,928720,-44280,1346100,22380,0
BANKNIFTY,24-MAR-2020,17793.95,17920.0,16020.0,16972.45,336220,68360,1346100,22380,1
BANKNIFTY,24-MAR-2020,17888.15,17950.0,16131.65,17046.05,81160,-1700,1346100,22380,2
NIFTY,24-MAR-2020,7879.15,8008.3,7526.0,7849.9,9158925,-2437875,16355325,-1270875,3
NIFTY,24-MAR-2020,8189.9,8189.9,7521.05,7853.8,6089550,1016550,16355325,-1270875,4
NIFTY,24-MAR-2020,7905.8,7987.1,7500.0,7833.85,1106850,150450,16355325,-1270875,5
BANKNIFTY,25-MAR-2020,16799.95,18735.55,16600.25,18487.0,828360,-100360,1380360,34260,0
BANKNIFTY,25-MAR-2020,16616.25,18669.7,16616.25,18407.95,469260,133040,1380360,34260,1
BANKNIFTY,25-MAR-2020,16963.2,18715.0,16710.2,18479.2,82740,1580,1380360,34260,2
NIFTY,25-MAR-2020,7741.9,8423.5,7681.35,8362.2,8715450,-443475,17292375,937050,3
NIFTY,25-MAR-2020,7752.0,8482.0,7730.0,8406.45,7354725,1265175,17292375,937050,4
NIFTY,25-MAR-2020,7734.95,8460.0,7700.0,8380.65,1222200,115350,17292375,937050,5
BANKNIFTY,26-MAR-2020,18700.0,20279.8,18335.5,19597.9,675140,-153220,1506540,126180,0
BANKNIFTY,26-MAR-2020,18649.95,20248.0,18215.0,19338.9,731520,262260,1506540,126180,1
BANKNIFTY,26-MAR-2020,18661.35,20286.4,18300.0,19399.6,99880,17140,1506540,126180,2
NIFTY,26-MAR-2020,8389.75,8750.05,8293.5,8630.3,7058100,-1657350,18634875,1342500,3
NIFTY,26-MAR-2020,8385.55,8780.0,8334.95,8677.25,10001550,2646825,18634875,1342500,4
NIFTY,26-MAR-2020,8137.3,8777.0,8137.3,8705.15,1575225,353025,18634875,1342500,5
BANKNIFTY,27-MAR-2020,20251.0,21272.8,19350.35,19778.65,866940,135420,983040,151640,0
BANKNIFTY,27-MAR-2020,20639.05,21339.0,19424.85,19837.15,114340,14460,983040,151640,1
BANKNIFTY,27-MAR-2020,20900.0,21250.0,19500.0,19854.75,1760,1760,983040,151640,2
NIFTY,27-MAR-2020,8938.65,9044.25,8525.0,8651.4,9616500,-385050,11269725,-307050,3
NIFTY,27-MAR-2020,9000.05,9060.0,8550.0,8677.35,1629600,54375,11269725,-307050,4
NIFTY,27-MAR-2020,9027.8,9090.0,8584.7,8703.6,23625,23625,11269725,-307050,5
BANKNIFTY,30-MAR-2020,19086.0,19820.0,18676.0,18799.55,891860,24920,1047120,64080,0
BANKNIFTY,30-MAR-2020,18883.8,19870.6,18750.0,18847.2,152980,38640,1047120,64080,1
BANKNIFTY,30-MAR-2020,19158.15,19890.35,18828.4,18879.0,2280,520,1047120,64080,2
NIFTY,30-MAR-2020,8440.0,8640.0,8248.65,8290.15,10246950,630450,11965800,696075,3
NIFTY,30-MAR-2020,8430.35,8659.7,8272.15,8315.5,1664250,34650,11965800,696075,4
NIFTY,30-MAR-2020,8501.15,8660.0,8280.0,8326.85,54600,30975,11965800,696075,5
BANKNIFTY,31-MAR-2020,19284.7,19500.0,18817.65,19135.5,874480,-17380,1029120,-18000,0
BANKNIFTY,31-MAR-2020,19296.8,19550.0,18875.0,19211.45,152200,-780,1029120,-18000,1
BANKNIFTY,31-MAR-2020,19251.0,19581.0,19000.0,19273.75,2440,160,1029120,-18000,2
NIFTY,31-MAR-2020,8499.5,8715.0,8357.0,8620.95,9933750,-313200,11720700,-245100,3
NIFTY,31-MAR-2020,8441.25,8730.5,8380.15,8638.65,1703325,39075,11720700,-245100,4
NIFTY,31-MAR-2020,8470.4,8734.45,8400.1,8641.45,83625,29025,11720700,-245100,5
BANKNIFTY,01-APR-2020,18900.0,18996.05,17962.65,18171.2,878400,3920,941180,-87940,0
