SYMBOL,EXPIRY_DT,OPEN_INT,CHG_IN_OI,TIMESTAMP,HighCOI%
BANKNIFTY,26-Mar-2020,1243840.0,-18980.0,05-MAR-2020,-1.5259197324414715
BANKNIFTY,30-Apr-2020,79720.0,840.0,05-MAR-2020,1.053687907676869
BANKNIFTY,28-May-2020,49700.0,-40.0,05-MAR-2020,-0.08048289738430583
NIFTY,26-Mar-2020,15140400.0,292350.0,05-MAR-2020,1.930926527700721
NIFTY,30-Apr-2020,1712400.0,245100.0,05-MAR-2020,14.31324456902593
NIFTY,28-May-2020,550725.0,110775.0,05-MAR-2020,20.11439466158246
NIFTYIT,26-Mar-2020,6400.0,800.0,05-MAR-2020,12.5
NIFTYIT,30-Apr-2020,100.0,50.0,05-MAR-2020,50.0
ACC,26-Mar-2020,3316000.0,-71200.0,05-MAR-2020,-2.147165259348613
ACC,30-Apr-2020,63200.0,1600.0,05-MAR-2020,2.5316455696202533
ADANIENT,26-Mar-2020,26252000.0,-468000.0,05-MAR-2020,-1.782721316471126
ADANIENT,30-Apr-2020,128000.0,4000.0,05-MAR-2020,3.125
ADANIPORTS,26-Mar-2020,33832500.0,817500.0,05-MAR-2020,2.4163156727998225
ADANIPORTS,30-Apr-2020,395000.0,-5000.0,05-MAR-2020,-1.2658227848101267
ADANIPOWER,26-Mar-2020,74160000.0,1190000.0,05-MAR-2020,1.604638619201726
ADANIPOWER,30-Apr-2020,540000.0,-20000.0,05-MAR-2020,-3.7037037037037033
AMARAJABAT,26-Mar-2020,1952000.0,-68800.0,05-MAR-2020,-3.524590163934426
AMARAJABAT,30-Apr-2020,22400.0,800.0,05-MAR-2020,3.571428571428571
AMARAJABAT,28-May-2020,800.0,800.0,05-MAR-2020,100.0
AMBUJACEM,26-Mar-2020,19185000.0,380000.0,05-MAR-2020,1.9807140995569454
AMBUJACEM,30-Apr-2020,135000.0,2500.0,05-MAR-2020,1.8518518518518516
APOLLOHOSP,26-Mar-2020,1663000.0,-57000.0,05-MAR-2020,-3.4275405892964526
APOLLOHOSP,30-Apr-2020,31000.0,1500.0,05-MAR-2020,4.838709677419355
APOLLOTYRE,26-Mar-2020,16560000.0,1080000.0,05-MAR-2020,6.521739130434782
APOLLOTYRE,30-Apr-2020,447000.0,78000.0,05-MAR-2020,17.449664429530202
APOLLOTYRE,28-May-2020,42000.0,9000.0,05-MAR-2020,21.428571428571427
ASHOKLEY,26-Mar-2020,58096000.0,128000.0,05-MAR-2020,0.2203249793445332
ASHOKLEY,28-May-2020,88000.0,16000.0,05-MAR-2020,18.181818181818183
ASIANPAINT,26-Mar-2020,7264200.0,142800.0,05-MAR-2020,1.965804906252581
ASIANPAINT,30-Apr-2020,189600.0,31800.0,05-MAR-2020,16.77215189873418
AUROPHARMA,26-Mar-2020,12343000.0,-124000.0,05-MAR-2020,-1.004618002106457
AUROPHARMA,30-Apr-2020,168000.0,4000.0,05-MAR-2020,2.380952380952381
AUROPHARMA,28-May-2020,86000.0,32000.0,05-MAR-2020,37.2093023255814
AXISBANK,26-Mar-2020,52870800.0,705600.0,05-MAR-2020,1.3345740938287296
AXISBANK,30-Apr-2020,1832400.0,42000.0,05-MAR-2020,2.2920759659463
AXISBANK,28-May-2020,22800.0,4800.0,05-MAR-2020,21.052631578947366
BAJAJ-AUTO,26-Mar-2020,2035000.0,17000.0,05-MAR-2020,0.8353808353808353
BAJAJ-AUTO,30-Apr-2020,28500.0,-250.0,05-MAR-2020,-0.8771929824561403
BAJAJFINSV,26-Mar-2020,1017375.0,-4875.0,05-MAR-2020,-0.4791743457427202
BAJAJFINSV,30-Apr-2020,8125.0,250.0,05-MAR-2020,3.076923076923077
BAJFINANCE,26-Mar-2020,6325000.0,-132000.0,05-MAR-2020,-2.086956521739131
BAJFINANCE,30-Apr-2020,150250.0,10750.0,05-MAR-2020,7.154742096505824
BAJFINANCE,28-May-2020,11500.0,1000.0,05-MAR-2020,8.695652173913043
BALKRISIND,26-Mar-2020,1660000.0,-32800.0,05-MAR-2020,-1.9759036144578312
BALKRISIND,30-Apr-2020,9600.0,800.0,05-MAR-2020,8.333333333333332
BANDHANBNK,26-Mar-2020,4137600.0,348000.0,05-MAR-2020,8.410672853828306
BANDHANBNK,30-Apr-2020,34800.0,-3600.0,05-MAR-2020,-10.344827586206897
BANDHANBNK,28-May-2020,30000.0,2400.0,05-MAR-2020,8.0
BANKBARODA,26-Mar-2020,66360600.0,-1998000.0,05-MAR-2020,-3.010822686955814
BANKBARODA,30-Apr-2020,2397600.0,-48600.0,05-MAR-2020,-2.027027027027027
BATAINDIA,26-Mar-2020,2577300.0,90200.0,05-MAR-2020,3.4997865983781478
BATAINDIA,30-Apr-2020,32450.0,4400.0,05-MAR-2020,13.559322033898304
BEL,26-Mar-2020,40230000.0,1716000.0,05-MAR-2020,4.265473527218493
BEL,30-Apr-2020,1182000.0,18000.0,05-MAR-2020,1.5228426395939088
BEL,28-May-2020,60000.0,6000.0,05-MAR-2020,10.0
BERGEPAINT,26-Mar-2020,6232600.0,63800.0,05-MAR-2020,1.0236498411577832
BERGEPAINT,30-Apr-2020,57200.0,-4400.0,05-MAR-2020,-7.6923076923076925
BHARATFORG,26-Mar-2020,7018700.0,-315900.0,05-MAR-2020,-4.500833487682905
BHARATFORG,30-Apr-2020,68900.0,2600.0,05-MAR-2020,3.7735849056603774
BHARTIARTL,26-Mar-2020,53334714.0,-166590.0,05-MAR-2020,-0.3123481640869022
BHARTIARTL,30-Apr-2020,1665900.0,37020.0,05-MAR-2020,2.2222222222222223
BHEL,26-Mar-2020,78624000.0,842400.0,05-MAR-2020,1.0714285714285714
BHEL,30-Apr-2020,6146400.0,676000.0,05-MAR-2020,10.998307952622675
BHEL,28-May-2020,312000.0,62400.0,05-MAR-2020,20.0
BIOCON,26-Mar-2020,10534000.0,43700.0,05-MAR-2020,0.41484716157205237
BIOCON,30-Apr-2020,351900.0,-2300.0,05-MAR-2020,-0.6535947712418301
BIOCON,28-May-2020,4600.0,2300.0,05-MAR-2020,50.0
BOSCHLTD,26-Mar-2020,144880.0,2720.0,05-MAR-2020,1.8774157923799006
BPCL,26-Mar-2020,24778800.0,-471600.0,05-MAR-2020,-1.9032398663373529
BPCL,30-Apr-2020,482400.0,14400.0,05-MAR-2020,2.9850746268656714
BPCL,28-May-2020,16200.0,1800.0,05-MAR-2020,11.11111111111111
BRITANNIA,26-Mar-2020,1710800.0,23600.0,05-MAR-2020,1.3794715922375496
BRITANNIA,30-Apr-2020,13400.0,1400.0,05-MAR-2020,10.44776119402985
CADILAHC,26-Mar-2020,5082000.0,-462000.0,05-MAR-2020,-9.090909090909092
CADILAHC,30-Apr-2020,105600.0,24200.0,05-MAR-2020,22.916666666666664
CANBK,26-Mar-2020,17763200.0,-18200.0,05-MAR-2020,-0.10245901639344263
CANBK,30-Apr-2020,780000.0,312000.0,05-MAR-2020,40.0
CANBK,28-May-2020,10400.0,5200.0,05-MAR-2020,50.0
