SYMBOL,TOTTRDQTY,TIMESTAMP
ACC,3572087,13-Apr-20
ADANIENT,2204560,13-Apr-20
ADANIPORTS,6979354,13-Apr-20
ADANIPOWER,9137324,13-Apr-20
AMARAJABAT,1324307,13-Apr-20
AMBUJACEM,12551506,13-Apr-20
APOLLOHOSP,1027810,13-Apr-20
APOLLOTYRE,9360109,13-Apr-20
ASHOKLEY,41848831,13-Apr-20
ASIANPAINT,2586216,13-Apr-20
AUROPHARMA,13848180,13-Apr-20
AXISBANK,33432493,13-Apr-20
BAJAJ-AUTO,654478,13-Apr-20
BAJAJFINSV,891709,13-Apr-20
BAJFINANCE,8183271,13-Apr-20
BALKRISIND,406357,13-Apr-20
BANDHANBNK,22145672,13-Apr-20
BANKBARODA,14157206,13-Apr-20
BATAINDIA,1193225,13-Apr-20
BEL,9995138,13-Apr-20
BERGEPAINT,1363753,13-Apr-20
BHARATFORG,1008742,13-Apr-20
BHARTIARTL,23966611,13-Apr-20
BHEL,36362523,13-Apr-20
BIOCON,13175876,13-Apr-20
BOSCHLTD,16241,13-Apr-20
BPCL,4954412,13-Apr-20
BRITANNIA,501533,13-Apr-20
CADILAHC,14945001,13-Apr-20
CANBK,6855898,13-Apr-20
CENTURYTEX,1173203,13-Apr-20
CESC,1480403,13-Apr-20
CHOLAFIN,7959997,13-Apr-20
CIPLA,15483866,13-Apr-20
COALINDIA,10691857,13-Apr-20
COLPAL,414945,13-Apr-20
CONCOR,2845404,13-Apr-20
CUMMINSIND,1997978,13-Apr-20
DABUR,2769955,13-Apr-20
DIVISLAB,1782628,13-Apr-20
DLF,12595353,13-Apr-20
DRREDDY,2322394,13-Apr-20
EICHERMOT,126622,13-Apr-20
EQUITAS,9293767,13-Apr-20
ESCORTS,2844324,13-Apr-20
EXIDEIND,1726474,13-Apr-20
FEDERALBNK,20458011,13-Apr-20
GAIL,8121867,13-Apr-20
GLENMARK,18480604,13-Apr-20
GMRINFRA,8047436,13-Apr-20
GODREJCP,3394610,13-Apr-20
GODREJPROP,280224,13-Apr-20
GRASIM,3263002,13-Apr-20
HAVELLS,1516544,13-Apr-20
HCLTECH,2236731,13-Apr-20
HDFC,7287804,13-Apr-20
HDFCBANK,17079259,13-Apr-20
HDFCLIFE,4143792,13-Apr-20
HEROMOTOCO,1561005,13-Apr-20
HINDALCO,23260082,13-Apr-20
HINDPETRO,4934849,13-Apr-20
HINDUNILVR,3249562,13-Apr-20
IBULHSGFIN,22430423,13-Apr-20
ICICIBANK,30995409,13-Apr-20
ICICIPRULI,2574306,13-Apr-20
IDEA,804238144,13-Apr-20
IDFCFIRSTB,23721656,13-Apr-20
IGL,3074637,13-Apr-20
INDIGO,2404619,13-Apr-20
INDUSINDBK,31209060,13-Apr-20
INFRATEL,3315057,13-Apr-20
INFY,8330291,13-Apr-20
IOC,9679851,13-Apr-20
ITC,17744825,13-Apr-20
JINDALSTEL,32561993,13-Apr-20
JSWSTEEL,11554655,13-Apr-20
JUBLFOOD,1210397,13-Apr-20
JUSTDIAL,3477941,13-Apr-20
KOTAKBANK,4250597,13-Apr-20
L&TFH,10571367,13-Apr-20
LICHSGFIN,3828808,13-Apr-20
LT,9462929,13-Apr-20
LUPIN,10064806,13-Apr-20
M&M,7717757,13-Apr-20
M&MFIN,3797320,13-Apr-20
MANAPPURAM,7537959,13-Apr-20
MARICO,3570311,13-Apr-20
MARUTI,2192269,13-Apr-20
MCDOWELL-N,3063806,13-Apr-20
MFSL,1434385,13-Apr-20
MGL,985520,13-Apr-20
MINDTREE,518713,13-Apr-20
MOTHERSUMI,13170395,13-Apr-20
MRF,13752,13-Apr-20
MUTHOOTFIN,2165713,13-Apr-20
NATIONALUM,9333279,13-Apr-20
NAUKRI,320698,13-Apr-20
NCC,57793037,13-Apr-20
NESTLEIND,83132,13-Apr-20
NIITTECH,210552,13-Apr-20
NMDC,6051190,13-Apr-20
NTPC,33267122,13-Apr-20
OIL,4933377,13-Apr-20
ONGC,22316547,13-Apr-20
PAGEIND,21051,13-Apr-20
PEL,1035270,13-Apr-20
PETRONET,1583326,13-Apr-20
PFC,3453484,13-Apr-20
PIDILITIND,1016607,13-Apr-20
PNB,16584316,13-Apr-20
POWERGRID,8381970,13-Apr-20
PVR,1514566,13-Apr-20
RAMCOCEM,1395704,13-Apr-20
RBLBANK,22328195,13-Apr-20
RECLTD,5007470,13-Apr-20
RELIANCE,10822871,13-Apr-20
SAIL,24780282,13-Apr-20
SBIN,51847574,13-Apr-20
SHREECEM,86675,13-Apr-20
SIEMENS,664626,13-Apr-20
SRF,426656,13-Apr-20
SRTRANSFIN,3088428,13-Apr-20
SUNPHARMA,30510404,13-Apr-20
SUNTV,3345289,13-Apr-20
TATACHEM,2327511,13-Apr-20
TATACONSUM,3699875,13-Apr-20
TATAMOTORS,70414018,13-Apr-20
TATAPOWER,4971865,13-Apr-20
TATASTEEL,15510598,13-Apr-20
TCS,2990478,13-Apr-20
TECHM,3822647,13-Apr-20
TITAN,4399276,13-Apr-20
TORNTPHARM,1226493,13-Apr-20
TORNTPOWER,1112160,13-Apr-20
TVSMOTOR,2420220,13-Apr-20
UBL,808372,13-Apr-20
UJJIVAN,3356955,13-Apr-20
ULTRACEMCO,1107263,13-Apr-20
UPL,4850281,13-Apr-20
VEDL,37471015,13-Apr-20
VOLTAS,1902965,13-Apr-20
WIPRO,6193223,13-Apr-20
YESBANK,26107072,13-Apr-20
ZEEL,27106893,13-Apr-20
ACC,2931488,15-Apr-20
