Time,Identifier,Type,OPTION TYPE,openInterest,changeinOpenInterest,totalTradedVolume,lastPrice,change,impliedVolatility,strikePrice,underlyingValue
10:29:47,7700_CE,CE,ITM,600,75,18,734.5,113.65,0,7700,8480
10:29:47,7800_CE,CE,ITM,6525,-2700,153,645,124.75,0,7800,8480
10:29:47,7900_CE,CE,ITM,7650,3525,73,591.2,123.35,0,7900,8480
10:29:47,8000_CE,CE,ITM,210900,-4875,2719,495,98.95,67.15,8000,8480
10:29:47,8100_CE,CE,ITM,22800,-29025,1646,411,81,73.62,8100,8480
10:29:47,8200_CE,CE,ITM,102450,23475,6511,327.8,59.75,78.52,8200,8480
10:29:47,8300_CE,CE,ITM,203025,64200,18996,254,40.1,82.68,8300,8480
10:29:47,8400_CE,CE,ITM,399150,115875,42981,189.35,25,82.88,8400,8480
10:29:47,8500_CE,CE,OTM,1192950,416850,107867,132.5,8.75,79.88,8500,8480
10:29:47,8600_CE,CE,OTM,674550,328500,70693,87.6,-2.55,78.36,8600,8480
10:29:47,8700_CE,CE,OTM,957750,461250,69408,54.3,-10.1,76.55,8700,8480
10:29:47,8800_CE,CE,OTM,828150,470175,69944,31.7,-16.45,75.6,8800,8480
10:29:47,8900_CE,CE,OTM,387975,149175,30374,18.7,-17.65,76.49,8900,8480
10:29:47,9000_CE,CE,OTM,1822125,428325,74845,11.9,-15.8,80.01,9000,8480
10:29:47,9100_CE,CE,OTM,424650,122175,23269,7.5,-13.25,82.41,9100,8480
10:29:47,9200_CE,CE,OTM,613800,86700,21436,4.7,-11,85.45,9200,8480
10:29:47,7700_PE,PE,OTM,229200,105000,18447,7.75,-69.4,103.62,7700,8480
10:29:47,7800_PE,PE,OTM,462975,133875,32612,11.8,-84.85,99.71,7800,8480
10:29:47,7900_PE,PE,OTM,340275,144075,29945,17.95,-101.4,97.58,7900,8480
10:29:47,8000_PE,PE,OTM,1634475,595575,102403,27.3,-120.85,96.2,8000,8480
10:29:47,8100_PE,PE,OTM,381525,177450,37292,40.85,-139.95,95.01,8100,8480
10:29:47,8200_PE,PE,OTM,634725,403875,54259,60.85,-158.3,94.27,8200,8480
10:29:47,8300_PE,PE,OTM,534750,300375,43464,89.6,-175.05,94.35,8300,8480
10:29:47,8400_PE,PE,OTM,841125,573825,48470,125.45,-189,93.54,8400,8480
10:29:47,8500_PE,PE,ITM,870600,237450,36708,168.8,-204.15,91.86,8500,8480
10:29:47,8600_PE,PE,ITM,174375,80550,7308,224.9,-214.2,90.1,8600,8480
10:29:47,8700_PE,PE,ITM,111450,30900,2810,289.8,-227.1,90.48,8700,8480
10:29:47,8800_PE,PE,ITM,54150,5325,802,360.5,-236.2,92.37,8800,8480
10:29:47,8900_PE,PE,ITM,63900,2700,418,455.25,-231.15,96.98,8900,8480
10:29:47,9000_PE,PE,ITM,236700,1875,1384,545.2,-233.55,102.35,9000,8480
10:29:47,9100_PE,PE,ITM,13425,-1200,97,628.75,-237.45,116.71,9100,8480
10:29:47,9200_PE,PE,ITM,11850,-75,24,761.7,-214.65,170.11,9200,8480
10:32:49,7700_CE,CE,ITM,600,75,18,777.4,156.55,0,7700,8473.05
10:32:49,7800_CE,CE,ITM,6525,-2700,153,645,124.75,0,7800,8473.05
10:32:49,7900_CE,CE,ITM,7650,3525,73,591.2,123.35,0,7900,8473.05
10:32:49,8000_CE,CE,ITM,210900,-4875,2741,494.3,98.25,67.15,8000,8473.05
10:32:49,8100_CE,CE,ITM,22800,-29025,1660,402,72,73.62,8100,8473.05
10:32:49,8200_CE,CE,ITM,102450,23475,6628,331.8,63.75,78.52,8200,8473.05
10:32:49,8300_CE,CE,ITM,203025,64200,19230,260,46.1,82.68,8300,8473.05
10:32:49,8400_CE,CE,ITM,399150,115875,43727,195.5,31.15,82.88,8400,8473.05
10:32:49,8500_CE,CE,OTM,1192950,416850,110411,138.85,15.1,79.88,8500,8473.05
10:32:49,8600_CE,CE,OTM,674550,328500,72403,93.05,2.9,78.36,8600,8473.05
10:32:49,8700_CE,CE,OTM,957750,461250,71197,59.15,-5.25,76.55,8700,8473.05
10:32:49,8800_CE,CE,OTM,828150,470175,71523,34.7,-13.45,75.6,8800,8473.05
10:32:49,8900_CE,CE,OTM,387975,149175,31349,20.45,-15.9,76.49,8900,8473.05
10:32:49,9000_CE,CE,OTM,1804800,411000,76470,13.25,-14.45,80.01,9000,8473.05
10:32:49,9100_CE,CE,OTM,425175,122700,23668,8.05,-12.7,82.41,9100,8473.05
10:32:49,9200_CE,CE,OTM,613800,86700,21619,5.2,-10.5,85.45,9200,8473.05
10:32:49,7700_PE,PE,OTM,226350,102150,18613,7.85,-69.3,103.62,7700,8473.05
10:32:49,7800_PE,PE,OTM,458850,129750,32896,11.65,-85,99.71,7800,8473.05
10:32:49,7900_PE,PE,OTM,360000,163800,30461,17.35,-102,97.58,7900,8473.05
10:32:49,8000_PE,PE,OTM,1643625,604725,104110,26.6,-121.55,96.2,8000,8473.05
10:32:49,8100_PE,PE,OTM,381525,177450,38183,39.5,-141.3,95.01,8100,8473.05
10:32:49,8200_PE,PE,OTM,634725,403875,55157,59.25,-159.9,94.27,8200,8473.05
10:32:49,8300_PE,PE,OTM,534750,300375,45383,86,-178.65,94.35,8300,8473.05
10:32:49,8400_PE,PE,OTM,841125,573825,49512,123,-191.45,93.54,8400,8473.05
10:32:49,8500_PE,PE,ITM,870600,237450,37518,165.95,-207,91.86,8500,8473.05
10:32:49,8600_PE,PE,ITM,174375,80550,7496,220,-219.1,90.1,8600,8473.05
10:32:49,8700_PE,PE,ITM,111450,30900,2850,283.6,-233.3,90.48,8700,8473.05
10:32:49,8800_PE,PE,ITM,54150,5325,814,367.25,-229.45,92.37,8800,8473.05
10:32:49,8900_PE,PE,ITM,63900,2700,483,452.1,-234.3,96.98,8900,8473.05
10:32:49,9000_PE,PE,ITM,236700,1875,1432,540.7,-238.05,102.35,9000,8473.05
10:32:49,9100_PE,PE,ITM,13425,-1200,97,628.75,-237.45,116.71,9100,8473.05
10:32:49,9200_PE,PE,ITM,11850,-75,24,736.75,-239.6,170.11,9200,8473.05
10:35:52,7700_CE,CE,ITM,600,75,19,804.65,183.8,0,7700,8499.3
10:35:52,7800_CE,CE,ITM,6525,-2700,153,708,187.75,0,7800,8499.3
10:35:52,7900_CE,CE,ITM,6525,2400,108,621.3,153.45,97.36,7900,8499.3
10:35:52,8000_CE,CE,ITM,207450,-8325,2825,532.15,136.1,82.21,8000,8499.3
10:35:52,8100_CE,CE,ITM,21450,-30375,1692,445.8,115.8,73.75,8100,8499.3
10:35:52,8200_CE,CE,ITM,100500,21525,7105,367,98.95,82,8200,8499.3
10:35:52,8300_CE,CE,ITM,182400,43575,19898,291.75,77.85,83.71,8300,8499.3
10:35:52,8400_CE,CE,ITM,369525,86250,46744,229.05,64.7,83.27,8400,8499.3
10:35:52,8500_CE,CE,OTM,1152225,376125,120795,172.35,48.6,81.26,8500,8499.3
10:35:52,8600_CE,CE,OTM,658275,312225,79007,123.25,33.1,79.19,8600,8499.3
10:35:52,8700_CE,CE,OTM,921375,424875,78407,83.9,19.5,77.28,8700,8499.3
10:35:52,8800_CE,CE,OTM,840000,482025,77579,54,5.85,75.96,8800,8499.3
10:35:52,8900_CE,CE,OTM,385800,147000,34696,33.45,-2.9,76.41,8900,8499.3
10:35:52,9000_CE,CE,OTM,1742475,348675,82967,20.3,-7.4,79.03,9000,8499.3
10:35:52,9100_CE,CE,OTM,421950,119475,25536,11.75,-9,80.9,9100,8499.3
10:35:52,9200_CE,CE,OTM,611250,84150,22717,6.2,-9.5,84.05,9200,8499.3
10:35:52,7700_PE,PE,OTM,212550,88350,19364,7.6,-69.55,106.98,7700,8499.3
10:35:52,7800_PE,PE,OTM,455475,126375,33998,11.25,-85.4,103.37,7800,8499.3
10:35:52,7900_PE,PE,OTM,355650,159450,32023,17.15,-102.2,100.26,7900,8499.3
10:35:52,8000_PE,PE,OTM,1659675,620775,108716,27.25,-120.9,98.17,8000,8499.3
10:35:52,8100_PE,PE,OTM,393225,189150,40242,40.7,-140.1,95.54,8100,8499.3
10:35:52,8200_PE,PE,OTM,655725,424875,57703,60.65,-158.5,93.84,8200,8499.3
10:35:52,8300_PE,PE,OTM,597000,362625,49743,88.8,-175.85,93.37,8300,8499.3
10:35:52,8400_PE,PE,OTM,891075,623775,53277,125.1,-189.35,92.38,8400,8499.3
10:35:52,8500_PE,PE,ITM,922800,289650,40841,168.9,-204.05,89.28,8500,8499.3
10:35:52,8600_PE,PE,ITM,184050,90225,8187,220.7,-218.4,88.04,8600,8499.3
10:35:52,8700_PE,PE,ITM,112200,31650,3142,279.9,-237,87.47,8700,8499.3
10:35:52,8800_PE,PE,ITM,54225,5400,885,350.45,-246.25,87.96,8800,8499.3
10:35:52,8900_PE,PE,ITM,57525,-3675,601,427.7,-258.7,92,8900,8499.3
10:35:52,9000_PE,PE,ITM,232500,-2325,1509,517.6,-261.15,99.83,9000,8499.3
10:35:52,9100_PE,PE,ITM,13350,-1275,103,620.9,-245.3,73.58,9100,8499.3
10:35:52,9200_PE,PE,ITM,11775,-150,25,708.9,-267.45,134.36,9200,8499.3
10:38:56,7700_CE,CE,ITM,600,75,21,804.65,183.8,0,7700,8496.75
