Time,Identifier,Type,OPTION TYPE,openInterest,changeinOpenInterest,totalTradedVolume,lastPrice,change,impliedVolatility,strikePrice,underlyingValue
09:36:14,7700_CE,CE,ITM,600,75,2,735.5,-162.70000000000005,0,7700,8438.6
09:36:14,7800_CE,CE,ITM,6000,0,2,681.35,-114.69999999999993,0,7800,8438.6
09:36:14,7900_CE,CE,ITM,4575,75,4,520.0,-157.14999999999998,0,7900,8438.6
09:36:14,8000_CE,CE,ITM,134700,-18750,1065,417.65,-187.05000000000007,0,8000,8438.6
09:36:14,8100_CE,CE,ITM,22950,3375,171,319.9,-189.75,0,8100,8438.6
09:36:14,8200_CE,CE,ITM,42975,9600,637,228.2,-199.75,0,8200,8439.3
09:36:14,8300_CE,CE,ITM,106575,27150,2556,148.0,-187.55,0,8300,8438.6
09:36:14,8400_CE,CE,ITM,256800,122400,13293,81.95,-174.35000000000002,0,8400,8439.3
09:36:14,8500_CE,CE,OTM,1352625,766425,62430,38.15,-148.04999999999998,0,8500,8439.3
09:36:14,8600_CE,CE,OTM,1228500,770025,63618,16.05,-110.45,0,8600,8439.3
09:36:14,8700_CE,CE,OTM,1052550,450825,41657,6.7,-75.14999999999999,0,8700,8438.6
09:36:14,8800_CE,CE,OTM,1034775,470700,37509,2.85,-47.3,0,8800,8438.6
09:36:14,8900_CE,CE,OTM,574575,217500,19027,1.6,-26.299999999999997,0,8900,8438.6
09:36:14,9000_CE,CE,OTM,2283150,827175,33949,1.0,-13.8,0,9000,8439.3
09:36:14,9100_CE,CE,OTM,760650,106350,9384,0.7,-6.2,0,9100,8438.6
09:36:14,9200_CE,CE,OTM,500025,-54750,6663,0.55,-3.3,0,9200,8438.6
09:36:14,7700_PE,PE,OTM,215625,-15000,3349,0.6,-6.1000000000000005,0,7700,8438.6
09:36:14,7800_PE,PE,OTM,490725,92400,9419,0.8,-9.049999999999999,0,7800,8439.3
09:36:14,7900_PE,PE,OTM,392700,60375,8809,1.75,-12.15,0,7900,8438.6
09:36:14,8000_PE,PE,OTM,1856625,640725,35965,3.35,-16.599999999999998,0,8000,8438.6
09:36:14,8100_PE,PE,OTM,502950,201525,18273,5.65,-21.5,0,8100,8438.6
09:36:14,8200_PE,PE,OTM,748425,282525,32796,13.3,-24.749999999999996,0,8200,8439.3
09:36:14,8300_PE,PE,OTM,926025,402000,38111,31.1,-20.199999999999996,0,8300,8438.6
09:36:14,8400_PE,PE,OTM,1064925,325875,50613,65.55,-4.3500000000000085,0,8400,8439.3
09:36:14,8500_PE,PE,ITM,1137975,296175,45742,121.4,22.650000000000006,0,8500,8438.6
